iter	Passed	Remaining
0	335	335488
1	492	245556
2	643	213745
3	796	198349
4	943	187777
5	1097	181827
6	1243	176388
7	1400	173704
8	1562	172079
9	1721	170393
10	1892	170171
11	2039	167918
12	2179	165510
13	2311	162784
14	2448	160755
15	2604	160194
16	2758	159515
17	2904	158436
18	3044	157194
19	3195	156570
20	3333	155411
21	3491	155217
22	3625	154015
23	3765	153131
24	3892	151823
25	4035	151171
26	4183	150771
27	4368	151639
28	4601	154055
29	4796	155075
30	5069	158450
31	5358	162100
32	5880	172312
33	6658	189170
34	6861	189185
35	7090	189871
36	7258	188911
37	7445	188499
38	7636	188159
39	7836	188065
40	8020	187607
41	8200	187042
42	8357	186001
43	8513	184973
44	8668	183962
45	8822	182979
46	8969	181862
47	9104	180582
48	9255	179639
49	9390	178424
50	9535	177428
51	9669	176280
52	9815	175385
53	9962	174521
54	10107	173661
55	10246	172729
56	10395	171985
57	10543	171246
58	10681	170367
59	10836	169773
60	10973	168925
61	11116	168174
62	11249	167318
63	11383	166478
64	11514	165626
65	11661	165022
66	11820	164604
67	11960	163935
68	12097	163235
69	12241	162639
70	12391	162135
71	12543	161674
72	12681	161043
73	12824	160484
74	12965	159909
75	13117	159481
76	13318	159648
77	13467	159189
78	13613	158709
79	13751	158137
80	13897	157673
81	14041	157198
82	14179	156652
83	14309	156043
84	14441	155462
85	14588	155046
86	14729	154577
87	14867	154083
88	15007	153613
89	15145	153136
90	15280	152633
91	15416	152158
92	15546	151616
93	15687	151198
94	15821	150722
95	15964	150332
96	16106	149941
97	16252	149585
98	16401	149266
99	16537	148841
100	16675	148430
101	16811	148006
102	16942	147544
103	17081	147167
104	17218	146764
105	17361	146428
106	17508	146124
107	17660	145863
108	17802	145526
109	17939	145147
110	18080	144810
111	18218	144444
112	18344	143995
113	18495	143745
114	18641	143459
115	18780	143121
116	18921	142799
117	19065	142508
118	19211	142229
119	19386	142170
120	19581	142250
121	19771	142291
122	20108	143371
123	20453	144491
124	20722	145060
125	21161	146788
126	21400	147108
127	21677	147678
128	21930	148070
129	22185	148469
130	22418	148718
131	22577	148464
132	22698	147967
133	22850	147676
134	23001	147378
135	23158	147124
136	23297	146754
137	23438	146402
138	23599	146179
139	23731	145776
140	23865	145395
141	24006	145054
142	24139	144670
143	24262	144228
144	24389	143814
145	24521	143435
146	24668	143142
147	24809	142822
148	24989	142726
149	25119	142344
150	25267	142066
151	25420	141818
152	25556	141478
153	25692	141142
154	25841	140879
155	25981	140566
156	26120	140253
157	26276	140029
158	26422	139756
159	26571	139499
160	26699	139135
161	26847	138879
162	26990	138595
163	27122	138260
164	27227	137786
165	27357	137449
166	27494	137144
167	27636	136864
168	27771	136559
169	27886	136152
170	28035	135915
171	28182	135667
172	28323	135395
173	28447	135041
174	28584	134753
175	28710	134419
176	28823	134019
177	28973	133796
178	29110	133519
179	29253	133267
180	29386	132970
181	29545	132791
182	29669	132458
183	29825	132269
184	29979	132072
185	30120	131818
186	30266	131587
187	30419	131386
188	30580	131222
189	30718	130956
190	30860	130714
191	31003	130471
192	31145	130230
193	31287	129988
194	31420	129710
195	31553	129433
196	31673	129104
197	31801	128813
198	31948	128594
199	32091	128366
200	32194	127977
201	32326	127704
202	32457	127430
203	32589	127161
204	32713	126865
205	32843	126589
206	32965	126286
207	33081	125963
208	33198	125646
209	33331	125389
210	33462	125128
211	33601	124894
212	33733	124640
213	33864	124380
214	33991	124109
215	34128	123874
216	34256	123608
217	34460	123613
218	34613	123439
219	35225	124889
220	35531	125244
221	35695	125096
222	35847	124903
223	36005	124734
224	36151	124523
225	36300	124320
226	36457	124146
227	36620	123996
228	36763	123775
229	36893	123514
230	37038	123301
231	37164	123027
232	37294	122768
233	37416	122481
234	37541	122210
235	37665	121934
236	37781	121632
237	37908	121370
238	38034	121106
239	38164	120853
240	38292	120598
241	38428	120367
242	38565	120139
243	38686	119863
244	38812	119605
245	38936	119343
246	39055	119064
247	39179	118803
248	39297	118523
249	39429	118289
250	39565	118066
251	39695	117825
252	39823	117582
253	39961	117367
254	40101	117160
255	40228	116912
256	40348	116650
257	40473	116401
258	40600	116157
259	40715	115883
260	40844	115648
261	40976	115423
262	41120	115230
263	41248	114994
264	41377	114763
265	41510	114544
266	41638	114310
267	41767	114082
268	41907	113881
269	42026	113627
270	42147	113378
271	42267	113127
272	42394	112897
273	42527	112683
274	42659	112466
275	42790	112246
276	42920	112027
277	43044	111791
278	43169	111559
279	43296	111334
280	43421	111103
281	43553	110890
282	43690	110692
283	43818	110471
284	43947	110253
285	44074	110032
286	44204	109817
287	44335	109606
288	44463	109389
289	44592	109175
290	44716	108948
291	44844	108731
292	44960	108487
293	45081	108255
294	45203	108027
295	45330	107811
296	45459	107602
297	45609	107442
298	45743	107244
299	45876	107044
300	46002	106828
301	46127	106612
302	46252	106395
303	46374	106174
304	46502	105964
305	46616	105725
306	46746	105521
307	46875	105317
308	47003	105111
309	47132	104907
310	47261	104705
311	47406	104537
312	47526	104314
313	47652	104107
314	47771	103883
315	47894	103671
316	48017	103457
317	48134	103232
318	48266	103039
319	48407	102865
320	48540	102676
321	48671	102482
322	48800	102283
323	48928	102085
324	49049	101872
325	49174	101668
326	49321	101509
327	49466	101345
328	49684	101332
329	50325	102176
330	50513	102094
331	50653	101917
332	50781	101715
333	50915	101525
334	51061	101361
335	51199	101179
336	51327	100979
337	51466	100800
338	51601	100616
339	51742	100441
340	51873	100247
341	52002	100052
342	52130	99852
343	52253	99646
344	52379	99444
345	52501	99236
346	52621	99025
347	52744	98820
348	52859	98600
349	52979	98390
350	53116	98213
351	53244	98018
352	53369	97818
353	53501	97632
354	53636	97451
355	53767	97265
356	53891	97064
357	54014	96863
358	54135	96660
359	54255	96454
360	54383	96263
361	54509	96068
362	54649	95900
363	54779	95713
364	54923	95551
365	55054	95367
366	55177	95169
367	55299	94971
368	55425	94778
369	55543	94574
370	55668	94381
371	55799	94198
372	55925	94009
373	56052	93820
374	56184	93640
375	56314	93458
376	56454	93292
377	56575	93095
378	56699	92902
379	56822	92709
380	56940	92509
381	57065	92319
382	57178	92112
383	57309	91933
384	57440	91755
385	57583	91596
386	57708	91409
387	57841	91235
388	57969	91053
389	58090	90860
390	58211	90667
391	58335	90479
392	58457	90289
393	58581	90102
